Fecha,Pozo,Dias,Qo mes (b),Qo prom. mes(bd),Qg mes (MMpc),Qg prom. mes (MMpcd),Qw mes (b),Qw prom. mes (bd),Fw (%),RGA (m3/m3),Días de Operación
01/01/1999,MOLOACÁN-102D,31,460.04,14.84,0.39,0.01,169.58,5.47,26.93,150.99,31
01/01/1999,MOLOACÁN-111,31,169.92,5.48,0.10,0.00,158.43,5.11,48.25,99.99,31
01/01/1999,MOLOACÁN-112,31,283.14,9.13,0.11,0.00,12.17,0.39,4.12,68.35,31
01/01/1999,MOLOACÁN-122,31,635.64,20.50,0.33,0.01,641.24,20.69,50.22,93.09,31
01/01/1999,MOLOACÁN-132,31,80.73,2.60,0.12,0.00,72.14,2.33,47.19,267.99,31
01/01/1999,MOLOACÁN-186,31,451.85,14.58,0.83,0.03,531.73,17.15,54.06,328.52,31
01/01/1999,MOLOACÁN-313,31,513.76,16.57,0.10,0.00,"1,591.71",51.35,75.60,34.58,31
01/01/1999,MOLOACÁN-316,31,362.68,11.70,0.13,0.00,243.91,7.87,40.21,64.85,31
01/01/1999,MOLOACÁN-319,31,265.46,8.56,0.11,0.00,130.25,4.20,32.92,71.97,31
01/01/1999,MOLOACÁN-320,31,293.34,9.46,0.11,0.00,386.49,12.47,56.85,65.81,31
01/01/1999,MOLOACÁN-321,31,128.44,4.14,0.05,0.00,2.95,0.10,2.25,69.17,31
01/01/1999,MOLOACÁN-324,31,327.86,10.58,0.10,0.00,410.56,13.24,55.60,56.52,31
01/01/1999,MOLOACÁN-325,31,698.44,22.53,0.18,0.01,588.92,19.00,45.75,45.23,31
01/01/1999,MOLOACÁN-327,31,351.25,11.33,0.11,0.00,"1,045.85",33.74,74.86,54.33,31
01/01/1999,MOLOACÁN-329,31,770.64,24.86,0.10,0.00,857.07,27.65,52.66,23.06,31
01/01/1999,MOLOACÁN-330,31,441.03,14.23,0.11,0.00,"1,313.33",42.37,74.86,43.72,31
01/01/1999,MOLOACÁN-331,31,256.88,8.29,0.10,0.00,249.68,8.05,49.29,69.17,31
01/01/1999,MOLOACÁN-337,31,562.98,18.16,0.11,0.00,470.02,15.16,45.50,33.85,31
01/01/1999,MOLOACÁN-339,31,455.82,14.70,0.11,0.00,"1,044.79",33.70,69.62,43.98,31
01/01/1999,MOLOACÁN-340,31,128.44,4.14,0.10,0.00,66.32,2.14,34.05,138.34,31
01/01/1999,MOLOACÁN-343,31,256.88,8.29,0.10,0.00,795.85,25.67,75.60,69.17,31
01/01/1999,MOLOACÁN-344,31,734.35,23.69,0.11,0.00,123.35,3.98,14.38,26.19,31
01/01/1999,MOLOACÁN-345,31,403.98,13.03,0.11,0.00,27.73,0.89,6.42,46.73,31
01/01/1999,MOLOACÁN-346,31,"1,451.65",46.83,0.16,0.01,500.37,16.14,25.63,19.08,31
01/01/1999,MOLOACÁN-347,31,75.05,2.42,0.11,0.00,285.73,9.22,79.20,260.55,29
01/01/1999,MOLOACÁN-350,31,170.22,5.49,0.14,0.00,54.83,1.77,24.36,150.55,31
01/01/1999,MOLOACÁN-351,31,372.06,12.00,0.16,0.01,23.14,0.75,5.86,74.97,31
01/01/1999,MOLOACÁN-352,31,128.44,4.14,0.10,0.00,3.49,0.11,2.65,138.34,31
01/01/1999,MOLOACÁN-355,31,395.70,12.76,0.10,0.00,197.04,6.36,33.24,46.83,31
01/01/1999,MOLOACÁN-357,31,676.68,21.83,0.13,0.00,424.43,13.69,38.55,33.31,31
01/01/1999,MOLOACÁN-360,31,91.14,2.94,0.09,0.00,79.92,2.58,46.72,184.63,31
01/01/1999,MOLOACÁN-365,31,"1,412.84",45.58,0.15,0.00,"1,250.63",40.34,46.95,18.86,31
01/01/1999,MOLOACÁN-367,31,161.46,5.21,0.08,0.00,34.59,1.12,17.65,89.33,31
01/01/1999,MOLOACÁN-370,31,128.44,4.14,0.10,0.00,176.86,5.71,57.93,138.34,31
01/01/1999,MOLOACÁN-375,31,515.20,16.62,0.11,0.00,"2,491.08",80.36,82.86,37.20,31
01/01/1999,MOLOACÁN-376,31,427.33,13.78,0.15,0.00,264.45,8.53,38.23,60.47,31
01/01/1999,MOLOACÁN-385,31,80.73,2.60,0.08,0.00,"1,862.25",60.07,95.85,178.66,31
01/01/1999,MOLOACÁN-387,31,421.26,13.59,0.17,0.01,"1,007.14",32.49,70.51,70.03,31
01/01/1999,MOLOACÁN-388,31,385.32,12.43,0.20,0.01,69.20,2.23,15.23,92.23,31
