NOMBRE DE POZO,TIPO DE TERMINACION,CIMA DE INTERVALO,BASE DE INTERVALO,"PROGRAMA
",NOMBRE DEL YACIMIENTO,ESTADO ACTUAL DEL INTERVALO,CIMA DISPARO,BASE DISPARO,FECHA DE DISPARO,FECHA DE CIERRE,TIPO DE PISTOLA,DIAMETRO DE LA PISTOLA,DENSIDAD DE CARGA,LONGITUD DEL DISPARO,FASE DEL DISPARO,DIAMETRO DEL DISPARO
MOLOACAN-1,INTERVALO DISPARADO,248,249.5,TERMINACION,ENCANTO,CEMENTADO,248,249.5,17/10/1949,03/05/1979,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,1.5,SIN INFORMACION,0.25
MOLOACAN-1,INTERVALO DISPARADO,252.5,255.5,TERMINACION,ENCANTO,CEMENTADO,252.5,255.5,18/10/1949,03/05/1979,MC COLLOUGH,SIN INFORMACION,SIN INFORMACION,3,SIN INFORMACION,0.25
MOLOACAN-1,INTERVALO DISPARADO,215,218,REPARACION,ENCANTO,CEMENTADO,215,218,20/12/1969,09/01/1970,CJ,1.6875,13,3,90,SIN INFORMACION
MOLOACAN-102A,INTERVALO DISPARADO,579,588,TERMINACION,ENCANTO,SIN INFORMACION,579,588,14/09/1973,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,9,SIN INFORMACION,SIN INFORMACION
MOLOACAN-11,INTERVALO DISPARADO,511,512,TERMINACION,ENCANTO,CEMENTADO,511,512,04/11/1966,06/02/1966,CJ,1.6875,13,1,90,SIN INFORMACION
MOLOACAN-11,INTERVALO DISPARADO,493,495,TERMINACION,ENCANTO,AISLADO,493,495,01/01/1967,04/01/1967,CJ,1.6875,13,2,90,SIN INFORMACION
MOLOACAN-11,INTERVALO DISPARADO,493,495,TERMINACION,ENCANTO,AISLADO,493,495,07/01/1967,11/04/1973,CJ,1.6875,13,2,90,SIN INFORMACION
MOLOACAN-11,INTERVALO DISPARADO,457,466,REPARACION,ENCANTO,CEMENTADO,457,466,14/04/1973,28/01/1982,CJ,1.6875,13,9,90,0.275
MOLOACAN-11,INTERVALO DISPARADO,325,330,REPARACION,ENCANTO,CEMENTADO,325,330,30/01/1982,02/02/1982,CJ,1.6875,13,5,90,SIN INFORMACION
MOLOACAN-11,INTERVALO DISPARADO,325,330,REPARACION,ENCANTO,CEMENTADO,325,330,11/02/1982,SIN INFORMACION,CJ,1.6875,13,5,90,SIN INFORMACION
