index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
0,MOLOACAN-1,CONCEPCION SUPERIOR,CNSR,FMN,0,75,MR
1,MOLOACAN-1,CONCEPCION INFERIOR,CNIR,FMN,75,185,MR
2,MOLOACAN-1,ENCANTO,ENCT,FMN,185,412,MR
3,MOLOACAN-1,OLIGOCENO,OLGN,FMN,412,471,MR
4,MOLOACAN-101,CONCEPCION SUPERIOR,CNSR,FMN,0,80,MR
5,MOLOACAN-101,CONCEPCION INFERIOR,CNIR,FMN,80,190,MR
6,MOLOACAN-101,ENCANTO,ENCT,FMN,190,520,MR
7,MOLOACAN-102,CONCEPCION SUPERIOR,CNSR,FMN,0,32,MR
8,MOLOACAN-102,CONCEPCION INFERIOR,CNIR,FMN,32,183,MR
9,MOLOACAN-102,ENCANTO,ENCT,FMN,183,557,MR
10,MOLOACAN-102A,CONCEPCION INFERIOR,CNIR,FMN,0,235,MR
11,MOLOACAN-102A,ENCANTO,ENCT,FMN,235,625,MR
12,MOLOACAN-11,CONCEPCION SUPERIOR,CNSR,FMN,0,214,MR
13,MOLOACAN-11,ENCANTO,ENCT,FMN,214,614,MR
14,MOLOACAN-111,CONCEPCION SUPERIOR,CNSR,FMN,0,60,MR
15,MOLOACAN-111,CONCEPCION INFERIOR,CNIR,FMN,60,180,MR
16,MOLOACAN-111,ENCANTO,ENCT,FMN,180,476,MR
17,MOLOACAN-112,CONCEPCION SUPERIOR,CNSR,FMN,0,100,MR
18,MOLOACAN-112,CONCEPCION INFERIOR,CNIR,FMN,100,245,MR
19,MOLOACAN-112,ENCANTO,ENCT,FMN,245,600,MR
20,MOLOACAN-113,CONCEPCION SUPERIOR,CNSR,FMN,0,55,MR
21,MOLOACAN-113,CONCEPCION INFERIOR,CNIR,FMN,55,245,MR
22,MOLOACAN-113,ENCANTO,ENCT,FMN,245,690,MR
23,MOLOACAN-113,OLIGOCENO,OLGN,FMN,690,890,MR
24,MOLOACAN-113,EOCENO,EOCN,FMN,890,892,MR
25,MOLOACAN-113,ANHIDRITA,ANHI,FMN,892,930,MR
26,MOLOACAN-121,CONCEPCION SUPERIOR,CNSR,FMN,0,60,MR
27,MOLOACAN-121,CONCEPCION INFERIOR,CNIR,FMN,60,195,MR
28,MOLOACAN-121,ENCANTO,ENCT,FMN,195,525,MR
29,MOLOACAN-122,CONCEPCION SUPERIOR,CNSR,FMN,0,110,MR
30,MOLOACAN-122,CONCEPCION INFERIOR,CNIR,FMN,110,235,MR
31,MOLOACAN-122,ENCANTO,ENCT,FMN,235,591,MR
32,MOLOACAN-131,CONCEPCION SUPERIOR,CNSR,FMN,0,232,MR
33,MOLOACAN-131,ENCANTO,ENCT,FMN,232,704,MR
34,MOLOACAN-132,CONCEPCION SUPERIOR,CNSR,FMN,0,85,MR
35,MOLOACAN-132,CONCEPCION INFERIOR,CNIR,FMN,85,265,MR
36,MOLOACAN-132,ENCANTO,ENCT,FMN,265,545,MR
37,MOLOACAN-132,DEPOSITO,DPST,FMN,545,605,MR
38,MOLOACAN-132,LA LAJA,LLJA,FMN,605,635,MR
39,MOLOACAN-133,CONCEPCION SUPERIOR,CNSR,FMN,0,95,MR
40,MOLOACAN-133,CONCEPCION INFERIOR,CNIR,FMN,95,235,MR
41,MOLOACAN-133,ENCANTO,ENCT,FMN,235,645,MR
42,MOLOACAN-1400,FILISOLA,FLSL,FMN,0,303,MR
43,MOLOACAN-1400,CONCEPCION SUPERIOR,CNSR,FMN,303,430,MR
44,MOLOACAN-1400,CONCEPCION INFERIOR,CNIR,FMN,430,536,MR
45,MOLOACAN-1400,ENCANTO,ENCT,FMN,536,1025,MR
46,MOLOACAN-142,CONCEPCION SUPERIOR,CNSR,FMN,0,94,MR
47,MOLOACAN-142,CONCEPCION INFERIOR,CNIR,FMN,94,238,MR
48,MOLOACAN-142,ENCANTO,ENCT,FMN,238,603,MR
49,MOLOACAN-15,CONCEPCION SUPERIOR,CNSR,FMN,0,90,MR
50,MOLOACAN-15,CONCEPCION INFERIOR,CNIR,FMN,90,220,MR
51,MOLOACAN-15,ENCANTO,ENCT,FMN,220,430,MR
52,MOLOACAN-15,DEPOSITO,DPST,FMN,430,546,MR
53,MOLOACAN-166,CONCEPCION INFERIOR,CNIR,FMN,0,210,MR
54,MOLOACAN-166,ENCANTO,ENCT,FMN,210,600,MR
55,MOLOACAN-186,CONCEPCION INFERIOR,CNIR,FMN,0,217,MR
56,MOLOACAN-186,ENCANTO,ENCT,FMN,217,625,MR
57,MOLOACAN-192,CONCEPCION INFERIOR,CNIR,FMN,0,98,MR
58,MOLOACAN-192,ENCANTO,ENCT,FMN,98,638,MR
59,MOLOACAN-192,DEPOSITO,DPST,FMN,638,785,MR
60,MOLOACAN-2,CONCEPCION SUPERIOR,CNSR,FMN,0,30,MR
61,MOLOACAN-2,CONCEPCION INFERIOR,CNIR,FMN,30,175,MR
62,MOLOACAN-2,ENCANTO,ENCT,FMN,175,450,MR
63,MOLOACAN-2,DEPOSITO,DPST,FMN,450,648,MR
64,MOLOACAN-21,CONCEPCION SUPERIOR,CNSR,FMN,0,55,MR
65,MOLOACAN-21,CONCEPCION INFERIOR,CNIR,FMN,55,250,MR
66,MOLOACAN-21,ENCANTO,ENCT,FMN,250,546,MR
67,MOLOACAN-21,DEPOSITO,DPST,FMN,546,556,MR
68,MOLOACAN-25,CONCEPCION SUPERIOR,CNSR,FMN,0,112,MR
69,MOLOACAN-25,CONCEPCION INFERIOR,CNIR,FMN,112,250,MR
