index,NOMBRE_DE_POZO,LATITUD,LONGITUD,ZONA_UTM,COORDENADAS_UTM_X,COORDENADAS_UTM_Y,SISTEMA_DE_REFERENCIA,"NOMBRE_PLATAFORMA_PERA
(Marino / Terrestre)",NOMBRE_EQUIPO_DE_PERFORACION,TIPO_AGUJERO_(AGUJERO/REENTRADA),CLASIFICACION_POZO_(Exploratorio/Desarrollo),CLASIFICACION_LAHEE,ESTADO_ACTUAL_DE_POZO,TIRANTE_DE_AGUA_(m),PROFUNDIDAD_TOTAL_PERFORADA_(m),PROFUNDIDAD_VERTICALIZADA_(m),PROFUNDIDAD_DE _REFERENCIA_(KB/MR/nivel_del_mar),ELEVACION_DE_REFERENCIA_(m),ELEVACION_DE_TERRENO_(mTVD),TRAYECTORIA_(vertical/desviado/horizontal),TIPO_DE_HIDROCARBUROS_(aceite/gas/condensado),FECHA_INICIO_PERFORACION_(dd/mm/aaaa),FECHA_FIN_DE_PERFORACION_(dd/mm/aaaa),FECHA_DE_TERMINACION_(dd/mm/aaaa),FECHA_INICIO_PRODUCCION_(dd/mm/aaaa),FECHA_DE_TAPONAMIENTO_(dd/mm/aaaa),FORMACION_O_EDAD_(ULTIMA_PERFORADA)
0,MOLOACAN-1,17.98707196,-94.38171414,UTM-15,353703.8,1989180.1,NAD-27,MOLOACAN-1,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2001,TAPONADO,NO APLICA,471,471,MR,24.48,22.48,VERTICAL,ACEITE/GAS,31/03/1949,16/04/1949,26/06/1949,12/03/1950,SIN INFORMACION,OLIGOCENO
1,MOLOACAN-101,17.982659,-94.369994,UTM-15,354941.32,1988682.58,NAD-27,MOLOACAN-101,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2007,TAPONADO,NO APLICA,520,520,MR,27.43,24.93,VERTICAL,ACEITE/GAS,01/03/1949,14/03/1949,23/03/1949,SIN INFORMACION,23/03/1949,ENCANTO
2,MOLOACAN-102,17.98204299,-94.36730443,UTM-15,355225.64,1988612.31,NAD-27,MOLOACAN-102,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2006,TAPONADO,NO APLICA,557,557,MR,30.75,28.27,VERTICAL,ACEITE/GAS,23/02/1949,04/03/1949,11/03/1949,SIN INFORMACION,12/03/1949,ENCANTO
3,MOLOACAN-102A,17.982088,-94.367397,UTM-15,355215.87,1988617.36,NAD-27,MOLOACAN-102,PM-5597,AGUJERO,DESARROLLO,07/07/2001,CERRADO CON POSIBILIDAD DE EXPLOTACION,NO APLICA,625,625,MR,0,0,VERTICAL,ACEITE/GAS,19/07/1973,20/08/1973,20/08/1973,30/09/1973,SIN INFORMACION,ENCANTO
4,MOLOACAN-11,17.98659732,-94.37310539,UTM-15,354615.05,1989120.81,NAD-27,MOLOACAN-11,PM-111,AGUJERO,DESARROLLO,07/07/2001,TAPONADO,NO APLICA,614,614,MR,38.36,34.45,VERTICAL,ACEITE/GAS,24/10/1966,07/11/1966,11/01/1967,23/11/1967,10/05/2002,ENCANTO
5,MOLOACAN-111,17.98592875,-94.37070734,UTM-15,354868.45,1989044.95,NAD-27,MOLOACAN-111,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2001,PRODUCTOR,NO APLICA,476,476,MR,28.76,26.76,VERTICAL,ACEITE/GAS,24/03/1949,03/04/1949,28/04/1949,28/04/1949,SIN INFORMACION,ENCANTO
6,MOLOACAN-112,17.98504553,-94.36787137,UTM-15,355168.05,1988945,NAD-27,MOLOACAN-112,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2001,PRODUCTOR,NO APLICA,600,600,MR,59.41,56.64,VERTICAL,ACEITE/GAS,13/10/1949,31/10/1949,11/11/1949,11/11/1949,SIN INFORMACION,ENCANTO
7,MOLOACAN-113,17.98363964,-94.36498609,UTM-15,355472.45,1988787.18,NAD-27,MOLOACAN-113,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2006,TAPONADO,NO APLICA,930,930,MR,0,0,VERTICAL,ACEITE/GAS,26/11/1949,04/01/1950,25/01/1950,SIN INFORMACION,25/01/1950,ANHIDRITA
8,MOLOACAN-121,17.98724851,-94.36829063,UTM-15,355125.45,1989189.1,NAD-27,MOLOACAN-121,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2001,CERRADO CON POSIBILIDAD DE EXPLOTACION,NO APLICA,525,525,MR,37.31,35.46,VERTICAL,ACEITE/GAS,10/05/1949,19/05/1949,26/06/1949,SIN INFORMACION,SIN INFORMACION,ENCANTO
9,MOLOACAN-122,17.98628995,-94.3656638,UTM-15,355402.84,1989080.98,NAD-27,MOLOACAN-122,SIN INFORMACION,AGUJERO,DESARROLLO,07/07/2001,TAPONADO,NO APLICA,591,591,MR,54.22,51.82,VERTICAL,ACEITE/GAS,24/07/1949,21/08/1949,21/09/1949,01/01/1968,17/03/2001,ENCANTO
