NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-1,214,218,MR,23,SIN INFORMACION,30,ENCANTO,DESALOJO AGUA,
MOLOACAN-1,248,249.5,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR POR BOMBEO MECANICO, 
MOLOACAN-1,252.5,255.5,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR POR BOMBEO MECANICO, 
MOLOACAN-1,276,281,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATO,
MOLOACAN-1,372,378,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATO,
MOLOACAN-1,380,382,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATO,
MOLOACAN-1,435,440,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DEPOSITO,SIN DATO,
MOLOACAN-1,455,460,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DEPOSITO,SIN DATO,
MOLOACAN-2,381,391,MR,26,SIN INFORMACION,25,SIN INFORMACION,SIN DATO,
MOLOACAN-2,424,431,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,FLUYO ACEITE,
MOLOACAN-3,230,250,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-4,271,273,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-4,287,291,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-5,436,443,MR,25,SIN INFORMACION,27,SIN INFORMACION,OPERO CONTINUAMENTE POR SISTEMA DE BM,
MOLOACAN-5,295,303,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,OPERO CONTINUAMENTE POR SISTEMA DE BM,
MOLOACAN-5,272,294,MR,25,SIN INFORMACION,13,SIN INFORMACION,OPERO HASTA FALLO DE APAREJO,
MOLOACAN-6,264,269,MR,19,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-6,270,274,MR,18,SIN INFORMACION,29,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-6,277,280,MR,23,SIN INFORMACION,22,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-6,395,406,MR,23,SIN INFORMACION,42,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-7,307,312,MR,27,SIN INFORMACION,19,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-7,472,476,MR,20,SIN INFORMACION,25,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-7,693,697,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,NO APORTO PRODUCCION,
MOLOACAN-8,440,443,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,DESALOJANDO ACEITE CON BOMBEO MECANICO, 
MOLOACAN-8,466,469,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,DESALOJANDO ACEITE CON BOMBEO MECANICO, 
MOLOACAN-8,488,492,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,DESALOJANDO ACEITE CON BOMBEO MECANICO, 
MOLOACAN-8,526,528,MR,21,SIN INFORMACION,32,ENCANTO,DESALOJANDO ACEITE CON BOMBEO MECANICO, 
MOLOACAN-8,573,577,MR,23,SIN INFORMACION,24,ENCANTO,SIN DATO,
MOLOACAN-11,325,330,MR,33,SIN INFORMACION,28,ENCANTO,SIN DATO,
MOLOACAN-11,457,466,MR,34,SIN INFORMACION,33,ENCANTO,DESALOJANDO ACEITE,
MOLOACAN-11,493,495,MR,18,SIN INFORMACION,40,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-15,193,196,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,CONCEPCION INF,SONDEO ACEITE VISCOSO Y ARENA, 
MOLOACAN-15,197,200,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,CONCEPCION INF,SONDEO ACEITE VISCOSO Y ARENA,
MOLOACAN-21,275,286,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATO,
MOLOACAN-21,344,353,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR POR BOMBEO,
MOLOACAN-25,232,236.5,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,CONCEPCION INF,SONDEO AGUA DE LAVADO Y ACEITE MUY VISCOSO, 
MOLOACAN-102A,530,537,MR,26,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-102A,579,588,MR,20,SIN INFORMACION,20,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-111,306,310,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-111,311,314,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO POZO DESCARGANDO A BATERIA,
MOLOACAN-111,316.5,319.5,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO POZO DESCARGANDO A BATERIA,
MOLOACAN-111,415,421,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO POZO SIN MANIFESTAR,
MOLOACAN-111,451,454,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO POZO FLUYENDO A BATERIA,
MOLOACAN-111,455,458,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO POZO FLUYENDO A BATERIA,
MOLOACAN-112,503,508,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-112,514,517,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-112,540,543,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO FLUYENTE,
MOLOACAN-112,546,549,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO FLUYENTE,
MOLOACAN-121,302.5,308.5,MR,36,SIN INFORMACION,24,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-121,320,323,MR,34,SIN INFORMACION,34,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-121,455,460,MR,38,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-121,460,464,MR,23,SIN INFORMACION,24,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-121,464,466,MR,23,SIN INFORMACION,24,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-121,503.5,505,MR,36,SIN INFORMACION,24,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-122,351,357,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SIN DATOS,
MOLOACAN-122,479,483,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-122,514,523,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-122,526,529,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-131,372,378,MR,19,SIN INFORMACION,43,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-131,380,382,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-132,338,343,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,INTERVALO PRODUCTOR,
MOLOACAN-132,345,347,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,INTERVALO PRODUCTOR,
MOLOACAN-132,354,366,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-132,514,516,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,INTERVALO PRODUCTOR,
MOLOACAN-133,271,277,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,SONDEO AGUA DE LAVADO Y ACEITE MUY VISCOSO, 
MOLOACAN-142,279,284,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,"SONDEO ACEITE Y AGUA DE LAVADO, NO FLUYO", 
MOLOACAN-142,311,314,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,"SONDEO ACEITE Y AGUA DE LAVADO, NO FLUYO", 
MOLOACAN-166,519,525,MR,11,SIN INFORMACION,29,ENCANTO,"Np= 459 BLS, Gp= 0.226 MMPC, Wp= 233,980 BLS.", 
MOLOACAN-186,508,521,MR,21,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE, 
MOLOACAN-192,217,221,MR,13,SIN INFORMACION,29,ENCANTO,INTERVALO PRODUCTOR, 
MOLOACAN-192,225,242,MR,17,SIN INFORMACION,20,ENCANTO,INTERVALO PRODUCTOR, 
MOLOACAN-192,289,299,MR,10,SIN INFORMACION,38,ENCANTO,RECUPERO ACEITE,
MOLOACAN-192,373,386,MR,12,SIN INFORMACION,38,ENCANTO,APOROT AGUA SALADA 100%,
MOLOACAN-303,215,225,MR,23,SIN INFORMACION,35,ENCANTO,INTERVALO CON PRODUCCION POR BOMBEO MECANICO, 
MOLOACAN-303,243,249,MR,23,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION POR BOMBEO MECANICO, 
MOLOACAN-303,321,325,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO PRODUCTOR,
MOLOACAN-304,243,251,MR,18,SIN INFORMACION,20,ENCANTO,PRODUCTOR DE ACEITE Y POCO GAS,
MOLOACAN-304,273,278,MR,18,SIN INFORMACION,27,ENCANTO,PRODUCTOR DE ACEITE Y POCO GAS,
MOLOACAN-304,349,352,MR,17,SIN INFORMACION,30,ENCANTO,PRODUCTOR DE ACEITE LIMPIO CON BOMBEO MECANICO, 
MOLOACAN-304,358,362,MR,19,SIN INFORMACION,21,ENCANTO,PRODUCTOR DE ACEITE LIMPIO CON BOMBEO MECANICO, 
MOLOACAN-304,368,373,MR,18,SIN INFORMACION,29,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-305,254,260,MR,23,SIN INFORMACION,33,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-305,383,389,MR,22,SIN INFORMACION,36,ENCANTO,APORTO ACEITE Y GAS,
MOLOACAN-305,423,427,MR,18,SIN INFORMACION,38,ENCANTO,APORTO ACEITE Y GAS,
MOLOACAN-306,215,221,MR,25,SIN INFORMACION,31,ENCANTO,SIN DATO,
MOLOACAN-306,334,336,MR,23,SIN INFORMACION,38,ENCANTO,APORTO ACEITE LIMPIO,
MOLOACAN-306,362,370,MR,23,SIN INFORMACION,40,ENCANTO,APORTO ACEITE LIMPIO,
MOLOACAN-308,355,362,MR,37,SIN INFORMACION,13,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-308,551,554,MR,38,SIN INFORMACION,32,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-308,570,573,MR,34,SIN INFORMACION,34,ENCANTO,SIN PRODUCCION,
MOLOACAN-308,609,629,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,ARENAS EXPLOTADAS POR COMPORTAMIENTO PRIMARIO, 
MOLOACAN-310,260,262,MR,25,SIN INFORMACION,20,ENCANTO,NO MANIFESTO,
MOLOACAN-310,268,270,MR,25,SIN INFORMACION,20,ENCANTO,NO MANIFESTO,
MOLOACAN-310,279,281,MR,28,SIN INFORMACION,25,ENCANTO,NO MANIFESTO,
MOLOACAN-310,321,330,MR,24,SIN INFORMACION,16,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-310,335,344,MR,24,SIN INFORMACION,19,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-310,384,389,MR,24,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-310,448,455,MR,31,SIN INFORMACION,27,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-310,482,486,MR,31,SIN INFORMACION,27,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-310,515,520,MR,31,SIN INFORMACION,28,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-311,448,452,MR,18,SIN INFORMACION,28,ENCANTO,"NO APORTO, NO ENCONTRO NIVEL",
MOLOACAN-311,472,476,MR,14,SIN INFORMACION,25,ENCANTO,"RECUPERO ACEITE VISCOSO, NP= 4019 BLS",
MOLOACAN-311,495,497,MR,22,SIN INFORMACION,33,ENCANTO,NO APORTO,
MOLOACAN-312,355,362,MR,29,SIN INFORMACION,17,ENCANTO,OP. POR B.M.,
MOLOACAN-312,553,556,MR,22,SIN INFORMACION,32,ENCANTO,NO APORTO,
MOLOACAN-312,559,561,MR,21,SIN INFORMACION,32,ENCANTO,NO APORTO,
MOLOACAN-312,580,584,MR,25,SIN INFORMACION,35,ENCANTO,INTERVALO CON PRODUCCION,
MOLOACAN-313,355,362,MR,23,SIN INFORMACION,19,ENCANTO,SIN DATOS DE PRODUCCION,
MOLOACAN-313,467,477,MR,21,SIN INFORMACION,22,ENCANTO,PRODUCTOR DE ACEITE Y GAS CON BOMBEO MECANICO, 
MOLOACAN-313,553,556,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO AISLADO,
MOLOACAN-313,559,561,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO AISLADO,
MOLOACAN-313,580,584,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO AISLADO,
MOLOACAN-314,450,456,MR,27,SIN INFORMACION,34,ENCANTO,POZO CERRADO POR INCOSTEABLE,
MOLOACAN-314,462,465,MR,26,SIN INFORMACION,35,ENCANTO,POZO CERRADO POR INCOSTEABLE,
MOLOACAN-314,506,515,MR,28,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-315,310,313,MR,12,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,319,333,MR,12,SIN INFORMACION,20,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,385,390,MR,13,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,472,479,MR,15,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,493,496,MR,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,502,511,MR,14,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-315,514,517,MR,17,SIN INFORMACION,31,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-316,427,437,MR,25,SIN INFORMACION,32,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE Y GAS,
MOLOACAN-317,347,355,MR,27,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-317,365,370,MR,26,SIN INFORMACION,28,ENCANTO,SIN DATO,
MOLOACAN-317,413,416,MR,26,SIN INFORMACION,22,ENCANTO,SIN DATO,
MOLOACAN-317,427,433,MR,25,SIN INFORMACION,22,ENCANTO,ABATIMIENTO DE NIVEL,
MOLOACAN-317,490,493,MR,25,SIN INFORMACION,22,ENCANTO,INTERVALO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-317,513,519,MR,25,SIN INFORMACION,26,ENCANTO,INTERVALO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-317,542,543,MR,25,SIN INFORMACION,28,ENCANTO,INTERVALO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
MOLOACAN-317,548,550,MR,29,SIN INFORMACION,32,ENCANTO,INTERVALO PRODUCTOR DE ACEITE POR BOMBEO MECANICO, 
